Supplier Name,Mobile,Email,Phone,GST Number,TAX Number,Country Name,State Name,City,Postcode,Address,Opening Balance
M/S Kaptai Store,01866-842367,,,,,,,,,"Notun Bazar, Kaptai.","205,000"
M/S Makkah Store,01817-719559,,,,,,,,,"69/35,Mohammadi Plaza Riazuddin Bazar, Chittagong.",0
M/S Jhalok Bitan,01823-920727,,,,,,,,,"155No.Notun Bazar, Kapati.",0
Sima Army Enterprise,01888-617607,,,,,,,,,"Baizid Bostami, Chattogram.",0
Azad Library and Stationery,01830-661362,,,,,,,,,"Notun Bazar, Kaptai.",0
Saima Enterprise,01813-565358,,,,,,,,,"Riazuddin Bazar, Chittagong.","48,750"
Mim Printing Press,01913-712484,,,,,,,,,"Zindabahar, Dhaka-1100",0
Atol Chappanno Bakery,01612-126259,,,,,,,,,"Katai Army Camp, Kaptai",0
