Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sale Price,Opening Stock,Barcode,Discount Type,Discount
Adorsho ekush mask,NA,,,PC,50,Local,,24.67,NA 0%,0.00,Inclusive,30,106,,,
Surgical Mask,NA,,,PC,50,Local,,4.5,NA 0%,0.00,Inclusive,5,115,,,
Adorsho ekush Chabi Ring,NA,,,pc ,50,Local,,90,NA 0%,0.00,Inclusive,100,5,,,
Shirt,NA,,,pc ,50,Local,,520,NA 0%,0.00,Inclusive,570,3,,,
Range Card,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,18,,,
Helmet Thutoni,NA,,,pc ,50,Local,,6,NA 0%,0.00,Inclusive,10,8,,,
Adorsho ekush genji (Red),NA,,,pc ,50,Local,,285,NA 0%,0.00,Inclusive,310,51,,,
Sape Kata Roshi,NA,,,pc ,50,Local,,6.26,NA 0%,0.00,Inclusive,10,29,,,
Star Rank,NA,,,pair,50,Local,,35,NA 0%,0.00,Inclusive,40,5,,,
Kamoflex Crim,NA,,,pc ,50,Local,,15,NA 0%,0.00,Inclusive,20,11,,,
Elastic  ,NA,,,pc ,50,Local,,3,NA 0%,0.00,Inclusive,5,0,,,
Miror,NA,,,pc ,50,Local,,6.25,NA 0%,0.00,Inclusive,10,5,,,
Suta Mini,NA,,,pc ,50,Local,,2.5,NA 0%,0.00,Inclusive,5,90,,,
Medical Book   ,NA,,,pc ,50,Local,,17.65,NA 0%,0.00,Inclusive,25,80,,,
ID Cover ,NA,,,pc ,50,Local,,20,NA 0%,0.00,Inclusive,30,0,,,
Under-Wear Sorkare,NA,,,pc ,50,Local,,38.14,NA 0%,0.00,Inclusive,45,45,,,
Haper bag baro/big,NA,,,pc ,50,Local,,495,NA 0%,0.00,Inclusive,540,0,,,
Chindi ,NA,,,pc ,50,Local,,3.97,NA 0%,0.00,Inclusive,5,145,,,
Tala Big,NA,,,pc ,50,Local,,115,NA 0%,0.00,Inclusive,130,1,,,
Sale Darsing,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,2,,,
Boot Brash Mini,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,33,,,
Rank Bach,NA,,,pc ,50,Local,,25.98,NA 0%,0.00,Inclusive,30,177,,,
Maril Glesarin ,NA,,,pc ,50,Local,,56.5,NA 0%,0.00,Inclusive,65,24,,,
Hat Muja,NA,,,pc ,50,Local,,45,NA 0%,0.00,Inclusive,55,4,,,
Civil Tracsut,NA,,,pc ,50,Local,,620,NA 0%,0.00,Inclusive,685,1,,,
Ribon,NA,,,pc ,50,Local,,4.19,NA 0%,0.00,Inclusive,5,74,,,
Hanger,NA,,,pc ,50,Local,,15.39,NA 0%,0.00,Inclusive,20,10,,,
Green cap,NA,,,pc ,50,Local,,121.25,NA 0%,0.00,Inclusive,130,5,,,
leave card boro ,NA,,,pc ,50,Local,,76,NA 0%,0.00,Inclusive,90,24,,,
Traning card/firing card  ,NA,,,pc ,50,Local,,8.37,NA 0%,0.00,Inclusive,15,83,,,
Rang bage officer,NA,,,pc ,50,Local,,30,NA 0%,0.00,Inclusive,35,7,,,
Warking dress balt ,NA,,,pc ,50,Local,,100,NA 0%,0.00,Inclusive,120,10,,,
Casio gori ,NA,,,pc ,50,Local,,114.14,NA 0%,0.00,Inclusive,120,9,,,
Rimort batari ,NA,,,pc ,50,Local,,21.17,NA 0%,0.00,Inclusive,25,14,,,
Botlas ,NA,,,pc ,50,Local,,3.43,NA 0%,0.00,Inclusive,5,194,,,
Pt pant ,NA,,,pc ,50,Local,,100,NA 0%,0.00,Inclusive,110,14,,,
Gori ,NA,,,pc ,50,Local,,412.5,NA 0%,0.00,Inclusive,450,2,,,
Note book ,NA,,,pc ,50,Local,,15,NA 0%,0.00,Inclusive,20,37,,,
