Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sale Price,Opening Stock,Barcode,Discount Type,Discount
Sada balku,NA,,,goz,50,Local,,20,NA 0%,0.00,Inclusive,22,2,,,
Civil rumal valo,NA,,,pc ,50,Local,,12,NA 0%,0.00,Inclusive,15,28,,,
Maril savan Choto,NA,,,pc ,50,Local,,9.17,NA 0%,0.00,Inclusive,10,121,,,
Tawala,NA,,,pc ,50,Local,,84.63,NA 0%,0.00,Inclusive,100,46,,,
Torch light Choto ,NA,,,pc ,50,Local,,80,NA 0%,0.00,Inclusive,90,0,,,
VIP div sin,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,16,,,
Div sin,NA,,,pc ,50,Local,,4,NA 0%,0.00,Inclusive,6,57,,,
Botol cavar,NA,,,pc ,50,Local,,45,NA 0%,0.00,Inclusive,55,18,,,
Steel chamus,NA,,,pc ,50,Local,,50,NA 0%,0.00,Inclusive,60,6,,,
Pital palis boro,NA,,,pc ,50,Local,,370,NA 0%,0.00,Inclusive,400,5,,,
Pital palis Choto,NA,,,pc ,50,Local,,150,NA 0%,0.00,Inclusive,170,0,,,
Vim powder,NA,,,pc ,50,Local,,40.5,NA 0%,0.00,Inclusive,45,42,,,
Mag steel,NA,,,pc ,50,Local,,78,NA 0%,0.00,Inclusive,85,6,,,
Ct pas book ,NA,,,pc ,50,Local,,10,NA 0%,0.00,Inclusive,15,11,,,
Chetona Mullobod,NA,,,pc ,50,Local,,6,NA 0%,0.00,Inclusive,10,10,,,
Three quarter haf pant,NA,,,pc ,50,Local,,170,NA 0%,0.00,Inclusive,190,12,,,
Panjabi,NA,,,pc ,50,Local,,600,NA 0%,0.00,Inclusive,700,6,,,
VIP pen,NA,,,pc ,50,Local,,120,NA 0%,0.00,Inclusive,130,1,,,
CT markar,NA,,,pc ,50,Local,,16.28,NA 0%,0.00,Inclusive,20,20,,,
Gillette  2,NA,,,pc ,50,Local,,38.59,NA 0%,0.00,Inclusive,45,18,,,
Garnier kolob,NA,,,pc ,50,Local,,80,NA 0%,0.00,Inclusive,90,1,,,
Mom Small,NA,,,pc ,50,Local,,3.33,NA 0%,0.00,Inclusive,5,38,,,
Mom Big,NA,,,pc ,50,Local,,8,NA 0%,0.00,Inclusive,10,38,,,
Vomor,NA,,,pc ,50,Local,,5.83,NA 0%,0.00,Inclusive,10,4,,,
Godrez Kali,NA,,,pc ,50,Local,,15,NA 0%,0.00,Inclusive,18,5,,,
Ijjat Rosie,NA,,,pc ,50,Local,,22,NA 0%,0.00,Inclusive,25,20,,,
Meril Petroleum,NA,,,pc ,50,Local,,20.57,NA 0%,0.00,Inclusive,25,22,,,
Dewal Ghori,NA,,,pc ,50,Local,,680,NA 0%,0.00,Inclusive,700,4,,,
Money Back (Vip),NA,,,pc ,50,Local,,650,NA 0%,0.00,Inclusive,670,0,,,
Pencil Cutter,NA,,,pc ,50,Local,,7.93,NA 0%,0.00,Inclusive,10,32,,,
Trouger Big,NA,,,pc ,50,Local,,210,NA 0%,0.00,Inclusive,235,4,,,
ID Clip ,NA,,,pc ,50,Local,,4,NA 0%,0.00,Inclusive,5,65,,,
Coyel,NA,,,pc ,50,Local,,32.84,NA 0%,0.00,Inclusive,40,0,,,
Karolen Mahade,NA,,,pc ,50,Local,,12.35,NA 0%,0.00,Inclusive,15,13,,,
Meril Vaseline,NA,,,pc ,50,Local,,22.5,NA 0%,0.00,Inclusive,25,44,,,
Revive Lotion,NA,,,pc ,50,Local,,216,NA 0%,0.00,Inclusive,240,14,,,
Dayger Genge,NA,,,pc ,50,Local,,390,NA 0%,0.00,Inclusive,430,2,,,
 Soresha Tel Small,NA,,,pc ,50,Local,,31.5,NA 0%,0.00,Inclusive,35,0,,,
Belku,NA,,,goz,50,Local,,10,NA 0%,0.00,Inclusive,15,5,,,
Nel Cutter ,NA,,,pc ,50,Local,,25.14,NA 0%,0.00,Inclusive,30,9,,,
Select Plus Shampoo,NA,,,pc ,50,Local,,170,NA 0%,0.00,Inclusive,190,7,,,
Gel Pen,NA,,,pc ,50,Local,,8.64,NA 0%,0.00,Inclusive,10,0,,,
Still Scale,NA,,,pc ,50,Local,,20.33,NA 0%,0.00,Inclusive,25,0,,,
Butam,NA,,,pc ,50,Local,,5,NA 0%,0.00,Inclusive,8,43,,,
Chirone,NA,,,pc ,50,Local,,3,NA 0%,0.00,Inclusive,5,20,,,
Sui,NA,,,pc ,50,Local,,0.5,NA 0%,0.00,Inclusive,1,210,,,
Bhoot ,NA,,,pc ,50,Local,,400,NA 0%,0.00,Inclusive,500,2,,,
Topi (Namaz),NA,,,pc ,50,Local,,70,NA 0%,0.00,Inclusive,90,3,,,
Kool Fom,NA,,,pc ,50,Local,,280,NA 0%,0.00,Inclusive,310,0,,,
Huil Saban,NA,,,pc ,50,Local,,27,NA 0%,0.00,Inclusive,30,0,,,
Setar Tupi,NA,,,pc ,50,Local,,135,NA 0%,0.00,Inclusive,150,3,,,
After Shef Lotion,NA,,,pc ,50,Local,,170,NA 0%,0.00,Inclusive,190,7,,,
Hand Wash Botol,NA,,,pc ,50,Local,,92.33,NA 0%,0.00,Inclusive,100,1,,,
Aerosol,NA,,,pc ,50,Local,,300,NA 0%,0.00,Inclusive,330,2,,,
Cap Bach Shar ,NA,,,pc ,50,Local,,32.33,NA 0%,0.00,Inclusive,35,6,,,
Haff Pent Sevil,NA,,,pc ,50,Local,,75,NA 0%,0.00,Inclusive,85,16,,,
Hure Gange,NA,,,pc ,50,Local,,330,NA 0%,0.00,Inclusive,360,1,,,
Kostap Sada,NA,,,pc ,50,Local,,7.16,NA 0%,0.00,Inclusive,10,0,,,
Trouger Sevil,NA,,,pc ,50,Local,,330,NA 0%,0.00,Inclusive,350,1,,,
Gas Light ,NA,,,pc ,50,Local,,8,NA 0%,0.00,Inclusive,10,0,,,
Clear Man Shompoo,NA,,,pc ,50,Local,,4.28,NA 0%,0.00,Inclusive,5,90,,,
Fair And Lovely (male),NA,,,pc ,50,Local,,88.33,NA 0%,0.00,Inclusive,95,0,,,
Pencil ,NA,,,pc ,50,Local,,7,NA 0%,0.00,Inclusive,10,0,,,
Fair And Lovely (Female),NA,,,pc ,50,Local,,138,NA 0%,0.00,Inclusive,150,8,,,
Fluid Pen,NA,,,pc ,50,Local,,24.4,NA 0%,0.00,Inclusive,30,0,,,
Istapler Pin,NA,,,pc ,50,Local,,22.19,NA 0%,0.00,Inclusive,25,0,,,
Bashundhara Khata,NA,,,pc ,50,Local,,44.88,NA 0%,0.00,Inclusive,50,0,,,
Saban Cas,NA,,,pc ,50,Local,,12,NA 0%,0.00,Inclusive,15,26,,,
Chaka Bol Saban,NA,,,pc ,50,Local,,21.94,NA 0%,0.00,Inclusive,24,35,,,
Tibbot Saban,NA,,,pc ,50,Local,,24.55,NA 0%,0.00,Inclusive,27,100,,,
Box Tesu,NA,,,pc ,50,Local,,65.79,NA 0%,0.00,Inclusive,75,0,,,
Rabar,NA,,,pc ,50,Local,,2.5,NA 0%,0.00,Inclusive,5,13,,,
Chakala Back,NA,,,pc ,50,Local,,1550,NA 0%,0.00,Inclusive,1650,1,,,
Kalo Hapar (Bogura),NA,,,pc ,50,Local,,500,NA 0%,0.00,Inclusive,550,3,,,
Moja (Small),NA,,,pc ,50,Local,,34,NA 0%,0.00,Inclusive,40,0,,,
Chabir Ring,NA,,,pc ,50,Local,,15,NA 0%,0.00,Inclusive,20,29,,,
Majone (Bode),NA,,,pc ,50,Local,,21.67,NA 0%,0.00,Inclusive,30,0,,,
Bike Maks,NA,,,pc ,50,Local,,40,NA 0%,0.00,Inclusive,50,15,,,
Sada-Rumal,NA,,,pc,50,Local,,8,NA 0%,0.00,Inclusive,10,50,,,
Pt (Su),NA,,,pc ,50,Local,,250,NA 0%,0.00,Inclusive,300,1,,,
Toilet Tissue (Sada),NA,,,pc ,50,Local,,1869,NA 0%,0.00,Inclusive,25,0,,,
Rexsona,NA,,,pc ,50,Local,,170,NA 0%,0.00,Inclusive,190,3,,,
Sada Rumal,NA,,,pc ,50,Local,,6.67,NA 0%,0.00,Inclusive,10,0,,,
Cekes-sa Book-2,NA,,,pc ,50,Local,,17,NA 0%,0.00,Inclusive,25,25,,,
Line Bading,NA,,,pc ,50,Local,,27,NA 0%,0.00,Inclusive,35,0,,,
Gamachi Powder,NA,,,pc ,50,Local,,57,NA 0%,0.00,Inclusive,65,0,,,
Magune(Crokares),NA,,,pc ,50,Local,,16.67,NA 0%,0.00,Inclusive,25,26,,,
Gamsa (Sorkare),NA,,,pc ,50,Local,,95,NA 0%,0.00,Inclusive,110,6,,,
Lux Saban,NA,,,pc ,50,Local,,52,NA 0%,0.00,Inclusive,58,0,,,
School Back (Small),NA,,,pc ,50,Local,,325,NA 0%,0.00,Inclusive,370,2,,,
Gange Black (21EB),NA,,,pc ,50,Local,,350,NA 0%,0.00,Inclusive,370,2,,,
Bad Card,NA,,,pc ,50,Local,,3,NA 0%,0.00,Inclusive,5,168,,,
Bad Frame,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,35,,,
Combed Gange,NA,,,pc ,50,Local,,70,NA 0%,0.00,Inclusive,80,0,,,
Nepthen Tesu,NA,,,pc ,50,Local,,47.62,NA 0%,0.00,Inclusive,54,6,,,
Hand Towel Tesu,NA,,,pc ,50,Local,,83.09,NA 0%,0.00,Inclusive,100,47,,,
Sharf Fom,NA,,,pc ,50,Local,,130,NA 0%,0.00,Inclusive,150,0,,,
Hand Wash Refel,NA,,,pc ,50,Local,,65.66,NA 0%,0.00,Inclusive,75,31,,,
Gange (Kolar),NA,,,pc ,50,Local,,181.25,NA 0%,0.00,Inclusive,200,28,,,
Gange (Cevil),NA,,,pc ,50,Local,,152.88,NA 0%,0.00,Inclusive,170,26,,,
Gange Ful-Hata(Gol),NA,,,pc ,50,Local,,194,NA 0%,0.00,Inclusive,220,4,,,
Toilet Tissue (Red),NA,,,pc ,50,Local,,27.5,NA 0%,0.00,Inclusive,35,0,,,
Tala (25mm),NA,,,pc ,50,Local,,35,NA 0%,0.00,Inclusive,40,0,,,
Bashi Fox-40,NA,,,pc ,50,Local,,45,NA 0%,0.00,Inclusive,50,26,,,
Bhoot Kali (Big),NA,,,pc ,50,Local,,123.52,NA 0%,0.00,Inclusive,135,0,,,
Bhoot Kali (Small),NA,,,pc ,50,Local,,76.6,NA 0%,0.00,Inclusive,85,0,,,
Mane Back (Army),NA,,,pc ,50,Local,,80,NA 0%,0.00,Inclusive,90,39,,,
Fast-Wash (Wheel),NA,,,pc ,50,Local,,36.11,NA 0%,0.00,Inclusive,40,0,,,
Vim-Bar -75gm,NA,,,pc ,50,Local,,7.7,NA 0%,0.00,Inclusive,10,4,,,
Clean-Clear,NA,,,pc ,50,Local,,135,NA 0%,0.00,Inclusive,145,0,,,
Rexsona-Due,NA,,,pc ,50,Local,,185,NA 0%,0.00,Inclusive,195,0,,,
Nevea-Due,NA,,,pc ,50,Local,,210,NA 0%,0.00,Inclusive,220,0,,,
Small-Pent -(Sevil),NA,,,pc ,50,Local,,65,NA 0%,0.00,Inclusive,70,17,,,
Bhoot-Brass,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,16,,,
Water botol ,NA,,,pc ,50,Local,,40,NA 0%,0.00,Inclusive,45,6,,,
Boot-Moja,NA,,,pc ,50,Local,,45,NA 0%,0.00,Inclusive,55,41,,,
kamoflige crim ,NA,,,pc ,50,Local,,12,NA 0%,0.00,Inclusive,15,5,,,
Madiplus tothpast,NA,,,pc ,50,Local,,40.83,NA 0%,0.00,Inclusive,48,23,,,
madiplus  touthbrush ,NA,,,pc ,50,Local,,68,NA 0%,0.00,Inclusive,75,4,,,
Air fresner ,NA,,,pc ,50,Local,,212,NA 0%,0.00,Inclusive,235,20,,,
Ligal paper ,NA,,,pc ,50,Local,,480,NA 0%,0.00,Inclusive,550,600,,,
Rakcin tap ,NA,,,pc ,50,Local,,54,NA 0%,0.00,Inclusive,65,0,,,
 Fair khata ,NA,,,pc ,50,Local,,40,NA 0%,0.00,Inclusive,45,13,,,
Tal-Paper,NA,,,goz,50,Local,,47,NA 0%,0.00,Inclusive,60,25,,,
Clip bord dobol ,NA,,,pc ,50,Local,,33.33,NA 0%,0.00,Inclusive,40,0,,,
Kolom rakha beg ,NA,,,pc ,50,Local,,16.66,NA 0%,0.00,Inclusive,20,0,,,
Rupa gangi ,NA,,,pc ,50,Local,,85,NA 0%,0.00,Inclusive,100,22,,,
Sorkari gangi Sada,NA,,,pc ,50,Local,,70,NA 0%,0.00,Inclusive,80,50,,,
Shou moja ,NA,,,pc ,50,Local,,35,NA 0%,0.00,Inclusive,40,33,,,
Kombet- blat ,NA,,,pc ,50,Local,,180,NA 0%,0.00,Inclusive,200,8,,,
Shik rajer ,NA,,,pc ,50,Local,,35,NA 0%,0.00,Inclusive,40,6,,,
Dimond gam ,NA,,,pc ,50,Local,,17,NA 0%,0.00,Inclusive,20,0,,,
Blead,NA,,,pc ,50,Local,,20,NA 0%,0.00,Inclusive,25,2,,,
kolom  ,NA,,,pc,50,Local,,4.02,NA 0%,0.00,Inclusive,5,234,,,
Gel-Pen,NA,,,pc ,50,Local,,9,NA 0%,0.00,Inclusive,10,0,,,
Pancil ,NA,,,pc,50,Local,,7.5,NA 0%,0.00,Inclusive,10,0,,,
Maril saban 100g ,NA,,,pc,50,Local,,54,NA 0%,0.00,Inclusive,60,73,,,
Maril saban 150g ,NA,,,pc,50,Local,,71,NA 0%,0.00,Inclusive,80,102,,,
Chaka saban 500g ,NA,,,pc,50,Local,,63.58,NA 0%,0.00,Inclusive,70,0,,,
Kool fom,NA,,,pc,50,Local,,160,NA 0%,0.00,Inclusive,180,4,,,
Loves sent,NA,,,pc,50,Local,,290,NA 0%,0.00,Inclusive,320,5,,,
Cute sent ,NA,,,pc,50,Local,,160,NA 0%,0.00,Inclusive,175,0,,,
Foog sent ,NA,,,pc,50,Local,,270,NA 0%,0.00,Inclusive,290,2,,,
Pt gangi ,NA,,,pc,50,Local,,70,NA 0%,0.00,Inclusive,80,90,,,
Civel Rumal,NA,,,pc,50,Local,,8,NA 0%,0.00,Inclusive,10,47,,,
Traning card ,NA,,,pc,50,Local,,10,NA 0%,0.00,Inclusive,15,92,,,
Green cap,NA,,,pc,50,Local,,180,NA 0%,0.00,Inclusive,200,17,,,
Madel 1 part ,NA,,,pc,50,Local,,85,NA 0%,0.00,Inclusive,90,46,,,
Madel 2 part ,NA,,,pc,50,Local,,170,NA 0%,0.00,Inclusive,190,47,,,
Note book ,NA,,,pc,50,Local,,15,NA 0%,0.00,Inclusive,20,78,,,
Dib Shine,NA,,,pc,50,Local,,4.5,NA 0%,0.00,Inclusive,6,100,,,
ID Cover ,NA,,,pc,50,Local,,20,NA 0%,0.00,Inclusive,30,62,,,
Cell Dressing,NA,,,pc,50,Local,,25,NA 0%,0.00,Inclusive,30,75,,,
Mog No-1,NA,,,pc,50,Local,,70,NA 0%,0.00,Inclusive,85,100,,,
Rebon- 2part,NA,,,pc,50,Local,,9,NA 0%,0.00,Inclusive,10,58,,,
Magune-Big,NA,,,pc,50,Local,,26,NA 0%,0.00,Inclusive,30,23,,,
Line Bading,NA,,,pc,50,Local,,20,NA 0%,0.00,Inclusive,25,100,,,
Pt-Kids Moja,NA,,,pc,50,Local,,33,NA 0%,0.00,Inclusive,40,100,,,
Loviaa Foam,NA,,,pc,50,Local,,130,NA 0%,0.00,Inclusive,145,21,,,
Gore-Hat,NA,,,pc,50,Local,,320,NA 0%,0.00,Inclusive,350,0,,,
Kostap-Big,NA,,,pc,50,Local,,55,NA 0%,0.00,Inclusive,60,3,,,
Gas-Light,NA,,,pc,50,Local,,12.6,NA 0%,0.00,Inclusive,15,22,,,
Soressa-Tell-80ml,NA,,,pc,50,Local,,31.5,NA 0%,0.00,Inclusive,35,130,,,
Soressa-Tell-250ml,NA,,,pc,50,Local,,81,NA 0%,0.00,Inclusive,85,68,,,
Boot-Kale Big,NA,,,pc,50,Local,,122.25,NA 0%,0.00,Inclusive,135,36,,,
Bellku-Sada,NA,,,pc,50,Local,,10,NA 0%,0.00,Inclusive,15,40,,,
Shitroll-Cover,NA,,,pc,50,Local,,25,NA 0%,0.00,Inclusive,30,233,,,
Toilet Tisu Sada,NA,,,pc,50,Local,,19.16,NA 0%,0.00,Inclusive,28,5,,,
Toilet Tisu Red,NA,,,pc,50,Local,,27.5,NA 0%,0.00,Inclusive,38,5,,,
Sick Rezar,NA,,,pc,50,Local,,41.66,NA 0%,0.00,Inclusive,45,0,,,
Fear Khata,NA,,,pc,50,Local,,38,NA 0%,0.00,Inclusive,45,0,,,
Pen,NA,,,pc,50,Local,,4.16,NA 0%,0.00,Inclusive,5,133,,,
Lux 100 mg ,NA,,,pc,50,Local,,51.48,NA 0%,0.00,Inclusive,58,108,,,
While Saban,NA,,,pc,50,Local,,27,NA 0%,0.00,Inclusive,30,110,,,
Vim Bar,NA,,,pc,50,Local,,35,NA 0%,0.00,Inclusive,40,28,,,
Cost Tep ,NA,,,pc,50,Local,,10,NA 0%,0.00,Inclusive,12,12,,,
Closup 45 mg,NA,,,pc,50,Local,,45,NA 0%,0.00,Inclusive,50,69,,,
Tibbot Powder,NA,,,pc,50,Local,,50,NA 0%,0.00,Inclusive,55,6,,,
Night Guard Coel,NA,,,pc,50,Local,,32.66,NA 0%,0.00,Inclusive,40,58,,,
Ors  Salain,NA,,,pc,50,Local,,4.9,NA 0%,0.00,Inclusive,6,325,,,
Fair Handsom,NA,,,pc,50,Local,,170,NA 0%,0.00,Inclusive,190,6,,,
Clean-Clear,NA,,,pc,50,Local,,280,NA 0%,0.00,Inclusive,297,4,,,
Nil,NA,,,pc,50,Local,,28.33,NA 0%,0.00,Inclusive,35,7,,,
Brush,NA,,,pc,50,Local,,16.66,NA 0%,0.00,Inclusive,20,22,,,
Box Tesu,NA,,,pc,50,Local,,65,NA 0%,0.00,Inclusive,80,48,,,
Nepthen Tesu,NA,,,pc,50,Local,,47.6,NA 0%,0.00,Inclusive,60,61,,,
Blue- 2 Rezer,NA,,,pc,50,Local,,40.28,NA 0%,0.00,Inclusive,45,36,,,
Super Glue,NA,,,pc,50,Local,,15,NA 0%,0.00,Inclusive,20,9,,,
Sun Light Battery,NA,,,pc,50,Local,,14.58,NA 0%,0.00,Inclusive,20,14,,,
Lifeboy Saban,NA,,,pc,50,Local,,46,NA 0%,0.00,Inclusive,55,62,,,
Prepsodent Big,NA,,,pc,50,Local,,153.88,NA 0%,0.00,Inclusive,165,36,,,
Prepsodent Small,NA,,,pc,50,Local,,45,NA 0%,0.00,Inclusive,50,71,,,
Cotton Bar,NA,,,pc,50,Local,,31.66,NA 0%,0.00,Inclusive,35,8,,,
Rin 500 mg,NA,,,pc,50,Local,,76.66,NA 0%,0.00,Inclusive,85,51,,,
Lemon 200 mg,NA,,,pc,50,Local,,28.2,NA 0%,0.00,Inclusive,30,132,,,
Cd Marker,NA,,,pc,50,Local,,16.66,NA 0%,0.00,Inclusive,20,13,,,
Steel Scel,NA,,,pc,50,Local,,20.83,NA 0%,0.00,Inclusive,25,8,,,
Clip bord  ,NA,,,pc,50,Local,,80,NA 0%,0.00,Inclusive,90,9,,,
Khata 124,NA,,,pc,50,Local,,40,NA 0%,0.00,Inclusive,50,7,,,
Gel Pen,NA,,,pc,50,Local,,9,NA 0%,0.00,Inclusive,10,40,,,
I ka Glue,NA,,,pc,50,Local,,6.66,NA 0%,0.00,Inclusive,8,5,,,
A4 Paper Sundarban,NA,,,pc,50,Local,,360,NA 0%,0.00,Inclusive,400,500,,,
Pencil,NA,,,pc,50,Local,,7.5,NA 0%,0.00,Inclusive,10,24,,,
Metordor Pen,NA,,,pc,50,Local,,4.17,NA 0%,0.00,Inclusive,5,48,,,
32 mm Tala,NA,,,pc,50,Local,,41.66,NA 0%,0.00,Inclusive,45,12,,,
32 mm Gol tala,NA,,,pc,50,Local,,45,NA 0%,0.00,Inclusive,50,10,,,
Light 8670,NA,,,pc,50,Local,,70,NA 0%,0.00,Inclusive,80,12,,,
Nilcater ,NA,,,pc,50,Local,,19.16,NA 0%,0.00,Inclusive,25,12,,,
Tupi,NA,,,pc,50,Local,,110,NA 0%,0.00,Inclusive,120,6,,,
Alif Ator,NA,,,pc,50,Local,,62.5,NA 0%,0.00,Inclusive,70,2,,,
Stepler,NA,,,pc,50,Local,,90,NA 0%,0.00,Inclusive,100,0,,,
Stepler Pin,NA,,,pc,50,Local,,22.5,NA 0%,0.00,Inclusive,25,19,,,
Madel Polis,NA,,,pc,50,Local,,150,NA 0%,0.00,Inclusive,180,12,,,
Mony bag,NA,,,pc,50,Local,,45,NA 0%,0.00,Inclusive,50,24,,,
Gel Pen,NA,,,pc,50,Local,,9,NA 0%,0.00,Inclusive,10,11,,,
Gugek,NA,,,pc,50,Local,,55,NA 0%,0.00,Inclusive,65,4,,,
Madical Book,NA,,,pc,50,Local,,17,NA 0%,0.00,Inclusive,25,16,,,
Khaki Cost tep,NA,,,pc,50,Local,,25,NA 0%,0.00,Inclusive,30,14,,,
ID Card Cover,NA,,,pc,50,Local,,27,NA 0%,0.00,Inclusive,30,0,,,
Bike Bag,NA,,,pc,50,Local,,450,NA 0%,0.00,Inclusive,500,4,,,
Helmet & Net,NA,,,pc,50,Local,,300,NA 0%,0.00,Inclusive,350,4,,,
Boot Kali Big,NA,,,pc,50,Local,,118.66,NA 0%,0.00,Inclusive,130,0,,,
Boot Kali Small,NA,,,pc,50,Local,,77,NA 0%,0.00,Inclusive,85,24,,,
Saban Case 2pt,NA,,,pc,50,Local,,12.5,NA 0%,0.00,Inclusive,15,24,,,
Gori ,NA,,,pc,50,Local,,440,NA 0%,0.00,Inclusive,470,8,,,
Sada Gengi,NA,,,pc,50,Local,,62,NA 0%,0.00,Inclusive,70,19,,,
E-Lastik Mota,NA,,,pc,50,Local,,3,NA 0%,0.00,Inclusive,5,90,,,
Div sin,NA,,,pc,50,Local,,4,NA 0%,0.00,Inclusive,5,10,,,
Ct Book,NA,,,pc,50,Local,,8,NA 0%,0.00,Inclusive,10,39,,,
Potaka Bag,NA,,,pc,50,Local,,450,NA 0%,0.00,Inclusive,500,0,,,
Tep Big,NA,,,pc,50,Local,,45,NA 0%,0.00,Inclusive,50,12,,,
Tep Small,NA,,,pc,50,Local,,25,NA 0%,0.00,Inclusive,30,10,,,
Tisu Sada,NA,,,pc,50,Local,,19.16,NA 0%,0.00,Inclusive,25,0,,,
Tisu Red,NA,,,pc,50,Local,,27.5,NA 0%,0.00,Inclusive,35,0,,,
Sick Rezar,NA,,,pc,50,Local,,41.66,NA 0%,0.00,Inclusive,45,0,,,
Bawond Khata,NA,,,pc,50,Local,,38,NA 0%,0.00,Inclusive,45,0,,,
Materdo Pen,NA,,,pc,50,Local,,4.16,NA 0%,0.00,Inclusive,5,0,,,
Gugek,NA,,,pc,50,Local,,55,NA 0%,0.00,Inclusive,60,0,,,
Net Bag,NA,,,pc,50,Local,,16.63,NA 0%,0.00,Inclusive,20,21,,,
ESP Teng,NA,,,pc,50,Local,,9,NA 0%,0.00,Inclusive,10,300,,,
Soft Ceak ,NA,,,pc,50,Local,,16.81,NA 0%,0.00,Inclusive,20,51,,,
Pillow Cheap,NA,,,pc,50,Local,,12,NA 0%,0.00,Inclusive,15,122,,,
Crispo Mini,NA,,,pc,50,Local,,8,NA 0%,0.00,Inclusive,10,22,,,
Pulse Choclet,NA,,,pc,50,Local,,300,NA 0%,0.00,Inclusive,400,0,,,
Ruchi Chanacur 22mg,NA,,,pc,50,Local,,8.75,NA 0%,0.00,Inclusive,10,238,,,
Ruchi Dhal Bhaja,NA,,,pc,50,Local,,4.25,NA 0%,0.00,Inclusive,5,83,,,
