Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock
Carbon Paper,Cosmetic Item,,,pcs,,Local,,3.00,NA,0,Inclusive,4.00,87
Gujrat Colop,Cosmetic Item,,,pcs,,Local,,10.00,NA,0,Inclusive,11.00,2
Gloves Chaina,Cosmetic Item,,,pcs,,Local,,95.00,NA,0,Inclusive,110.00,2
Shirt Print,Cosmetic Item,,,pcs,,Local,,750.00,NA,0,Inclusive,825.00,9
Truth Brush Oral,Cosmetic Item,,,pcs,,Local,,30.00,NA,0,Inclusive,32.00,17
Winter Cout  v Thorat,Cosmetic Item,,,pcs,,Local,,235.00,NA,0,Inclusive,260.00,1
Chocolate Pulse,Chocolate,,,bottol,,Local,,300.00,NA,0,Inclusive,330.00,2
Muri,Food,,,packet,,Local,,30.00,NA,0,Inclusive,35.00,16
Ber  Be Q Chanachur Big ,Food,,,pcs,,Local,,80.00,NA,0,Inclusive,90.00,43
Ber  Be Q Chanachur Middle ,Food,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,72
Ber  Be Q Chanachur Small ,Food,,,pcs,,Local,,8.75,NA,0,Inclusive,10.00,83
Jal Muri,Food,,,pcs,,Local,,8.83,NA,0,Inclusive,10.00,45
Potato Chips,Food,,,pcs,,Local,,8.50,NA,0,Inclusive,10.00,71
Sun Chips,Food,,,pcs,,Local,,17.00,NA,0,Inclusive,20.00,8
Mr. Twist,Food,,,pcs,,Local,,16.50,NA,0,Inclusive,20.00,28
Chess Potato,Food,,,pcs,,Local,,8.50,NA,0,Inclusive,10.00,18
Arku Motor,Food,,,pcs,,Local,,4.50,NA,0,Inclusive,5.00,38
Saudia Sweater,Cloth,,,pcs,,Local,,365.00,NA,0,Inclusive,405.00,5
Half Sleeve Eco Collar Genji,Cloth,,,pcs,,Local,,350.00,NA,0,Inclusive,385.00,0
Baby Shop Curtiken,Cloth,,,pcs,,Local,,440.00,NA,0,Inclusive,485.00,1
Civil Trousers Pant,Cloth,,,pcs,,Local,,260.00,NA,0,Inclusive,280.00,17
