Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sale Price,Opening Stock,Barcode,Discount Type,Discount
Garnier kolob,NA,,,pc ,50,Local,,80,NA 0%,0.00,Inclusive,90,1,,Percentage,0
Mom Small,NA,,,pc ,50,Local,,3.33,NA 0%,0.00,Inclusive,5,38,,Percentage,0
Mom Big,NA,,,pc ,50,Local,,8,NA 0%,0.00,Inclusive,10,38,,Percentage,0
Vomor,NA,,,pc ,50,Local,,5.83,NA 0%,0.00,Inclusive,10,4,,Percentage,0
Godrez Kali,NA,,,pc ,50,Local,,15,NA 0%,0.00,Inclusive,18,5,,Percentage,0
Ijjat Rosie,NA,,,pc ,50,Local,,22,NA 0%,0.00,Inclusive,25,20,,Percentage,0
Meril Petroleum,NA,,,pc ,50,Local,,20.57,NA 0%,0.00,Inclusive,25,22,,Percentage,0
Dewal Ghori,NA,,,pc ,50,Local,,680,NA 0%,0.00,Inclusive,700,4,,Percentage,0
Money Back (Vip),NA,,,pc ,50,Local,,650,NA 0%,0.00,Inclusive,670,0,,Percentage,0
Pencil Cutter,NA,,,pc ,50,Local,,7.93,NA 0%,0.00,Inclusive,10,32,,Percentage,0
Trouger Big,NA,,,pc ,50,Local,,210,NA 0%,0.00,Inclusive,235,4,,Percentage,0
ID Clip ,NA,,,pc ,50,Local,,4,NA 0%,0.00,Inclusive,5,65,,Percentage,0
Coyel,NA,,,pc ,50,Local,,32.84,NA 0%,0.00,Inclusive,40,0,,Percentage,0
Karolen Mahade,NA,,,pc ,50,Local,,12.35,NA 0%,0.00,Inclusive,15,13,,Percentage,0
Meril Vaseline,NA,,,pc ,50,Local,,22.5,NA 0%,0.00,Inclusive,25,44,,Percentage,0
Revive Lotion,NA,,,pc ,50,Local,,216,NA 0%,0.00,Inclusive,240,14,,Percentage,0
Dayger Genge,NA,,,pc ,50,Local,,390,NA 0%,0.00,Inclusive,430,2,,Percentage,0
 Soresha Tel Small,NA,,,pc ,50,Local,,31.5,NA 0%,0.00,Inclusive,35,0,,Percentage,0
Belku,NA,,,goz,50,Local,,10,NA 0%,0.00,Inclusive,15,5,,Percentage,0
Nel Cutter ,NA,,,pc ,50,Local,,25.14,NA 0%,0.00,Inclusive,30,9,,Percentage,0
Select Plus Shampoo,NA,,,pc ,50,Local,,170,NA 0%,0.00,Inclusive,190,7,,Percentage,0
