Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT,
Hanger-25,Stationery,,,pic,,,,20.00,NA,0.00,Inclusive,25.00,82.00,,,,
Hanger-20,Stationery,,,pic,,,,16.00,NA,0.00,Inclusive,20.00,7.00,,,,
White Board Marker,Stationery,,,pic,,,,16.67,NA,0.00,Inclusive,25.00,28.00,,,,
CD Marker,Stationery,,,pic,,,,13.33,NA,0.00,Inclusive,20.00,17.00,,,,
Kechi,Stationery,,,pic,,,,25.00,NA,0.00,Inclusive,30.00,2.00,,,,
Permanent Marker,Stationery,,,pic,,,,15.83,NA,0.00,Inclusive,20.00,18.00,,,,
Toilet Brush,Stationery,,,pcs,,,,45.00,NA,0.00,Inclusive,50.00,12.00,,,,
Combat Genji,Garments,,,pic,,,,75.00,NA,0.00,Inclusive,85.00,40.00,,,,
Civil Pant,Garments,,,pic,,,,90.00,NA,0.00,Inclusive,100.00,1.00,,,,
VIP Colur Genji,Garments,,,pic,,,,190.00,NA,0.00,Inclusive,220.00,17.00,,,,
Mask Kapor,Garments,,,pic,,,,35.00,NA,0.00,Inclusive,40.00,74.00,,,,
Underwear China-130,Garments,,,pic,,,,115.00,NA,0.00,Inclusive,130.00,14.00,,,,
Black Moja Civil,Garments,,,pic,,,,45.00,NA,0.00,Inclusive,50.00,5.00,,,,
Black Moja Civil,Garments,,,pic,,,,40.00,NA,0.00,Inclusive,48.00,40.00,,,,
White Romal,Garments,,,pic,,,,8.00,NA,0.00,Inclusive,10.00,127.00,,,,
Towel Civil,Garments,,,pic,,,,105.00,NA,0.00,Inclusive,120.00,9.00,,,,
BD Army Genji,Garments,,,pic,,,,130.00,NA,0.00,Inclusive,15.00,0.00,,,,
Child Genji,Garments,,,pic,,,,105.00,NA,0.00,Inclusive,120.00,29.00,,,,
BD Army Chest,Garments,,,pic,,,,90.00,NA,0.00,Inclusive,120.00,3.00,,,,
Underwear China-180,Garments,,,pic,,,,165.00,NA,0.00,Inclusive,180.00,74.00,,,,
Khadi Punjabi,Garments,,,pic,,,,480.00,NA,0.00,Inclusive,600.00,11.00,,,,
Tissue Genji,Garments,,,pic,,,,175.00,NA,0.00,Inclusive,190.00,19.00,,,,
Romal-20,Garments,,,pic,,,,16.00,NA,0.00,Inclusive,20.00,4.00,,,,
Lungi,Garments,,,pic,,,,350.00,NA,0.00,Inclusive,380.00,6.00,,,,
Army Gul Gola,Garments,,,pic,,,,160.00,NA,0.00,Inclusive,180.00,20.00,,,,
Ful Hata Genji Winter,Garments,,,pcs,,,,250.00,NA,0.00,Inclusive,280.00,24.00,,,,
Ful Hata Genji,Garments,,,pcs,,,,240.00,NA,0.00,Inclusive,270.00,24.00,,,,
55 Div Genji,Garments,,,pcs,,,,220.00,NA,0.00,Inclusive,260.00,36.00,,,,
Sena Toile,Garments,,,pic,,,,100.00,NA,0.00,Inclusive,110.00,17.00,,,,
Long Muja,Garments,,,pic,,,,70.00,NA,0.00,Inclusive,75.00,46.00,,,,
 Hand Muja White,Garments,,,pic,,,,35.00,NA,0.00,Inclusive,40.00,8.00,,,,
Mujz Short Army,Garments,,,pic,,,,40.00,NA,0.00,Inclusive,50.00,29.00,,,,
Civil Muja,Garments,,,pic,,,,39.00,NA,0.00,Inclusive,45.00,4.00,,,,
Black Muja Army,Garments,,,pic,,,,40.00,NA,0.00,Inclusive,45.00,5.00,,,,
Mask Surgical-80,Garments,,,Box,,,,65.00,NA,0.00,Inclusive,80.00,15.00,,,,
Mask Surgical-100,Garments,,,Box,,,,85.00,NA,0.00,Inclusive,100.00,6.00,,,,
Paijama,Garments,,,pcs,,,,250.00,NA,0.00,Inclusive,300.00,3.00,,,,
Punjabi-600,Garments,,,pcs,,,,470.00,NA,0.00,Inclusive,600.00,0.00,,,,
Punjabi-800,Garments,,,pcs,,,,620.00,NA,0.00,Inclusive,800.00,5.00,,,,
Panjabi-900,Garments,,,pcs,,,,750.00,NA,0.00,Inclusive,900.00,2.00,,,,
White Genji Army,Garments,,,pcs,,,,75.00,NA,0.00,Inclusive,85.00,24.00,,,,
Underwear Army,Garments,,,pcs,,,,43.00,NA,0.00,Inclusive,50.00,27.00,,,,
Half Sarkari,Garments,,,pcs,,,,128.00,NA,0.00,Inclusive,140.00,2.00,,,,
Half pant Sorkari,Garments,,,pcs,,,,120.00,NA,0.00,Inclusive,135.00,16.00,,,,
London Boy Civil,Garments,,,pcs,,,,95.00,NA,0.00,Inclusive,110.00,10.00,,,,
Dada Genji,Garments,,,pcs,,,,120.00,NA,0.00,Inclusive,130.00,4.00,,,,
OR Saline,Drink Item,,,Box,,,,128.00,NA,0.00,Inclusive,140.00,93.00,,,,
Glucose,Drink Item,,,pcs,,,,130.00,NA,0.00,Inclusive,145.00,15.00,,,,
Pulse Chocolate,Drink Item,,,pcs,,,,1.50,NA,0.00,Inclusive,2.00,230.00,,,,
Promi Tang,Drink Item,,,pcs,,,,36.67,NA,0.00,Inclusive,50.00,37.00,,,,
Mango Chocolate,Drink Item,,,pcs,,,,0.80,NA,0.00,Inclusive,1.00,192.00,,,,
Horlicks,Drink Item,,,pcs,,,,400.00,NA,0.00,Inclusive,410.00,13.00,,,,50
Black Cigarettes,Drink Item,,,Packet,,,,112.00,NA,0.00,Inclusive,120.00,27.00,,,,
Benson Cigarettes,Drink Item,,,Packet,,,,308.00,NA,0.00,Inclusive,330.00,87.00,,,,
ORIS Cigareattes-1,Drink Item,,,Packet,,,,199.00,NA,0.00,Inclusive,210.00,13.00,,,,
ORIS Cigareattes-2,Drink Item,,,Packet,,,,182.00,NA,0.00,Inclusive,190.00,20.00,,,,
Lucky Cigareattes,Drink Item,,,Packet,,,,167.50,NA,0.00,Inclusive,180.00,62.00,,,,
Derby Cigareattes,Drink Item,,,Packet,,,,44.00,NA,0.00,Inclusive,48.00,231.00,,,,
Gold Leaf Cigareattes,Drink Item,,,Packet,,,,235.00,NA,0.00,Inclusive,250.00,96.00,,,,
Mond Cigareattes,Drink Item,,,Packet,,,,95.00,NA,0.00,Inclusive,105.00,13.00,,,,
Mond Cigareattes,Drink Item,,,Packet,,,,92.00,NA,0.00,Inclusive,105.00,30.00,,,,
Royals Cigareattes,Drink Item,,,Packet,,,,53.85,NA,0.00,Inclusive,60.00,200.00,,,,
Camel Cigareattes,Drink Item,,,Packet,,,,130.00,NA,0.00,Inclusive,142.00,40.00,,,,
FireBox,Drink Item,,,pic,,,,1.67,NA,0.00,Inclusive,2.00,17.00,,,,
Pan mosla,Drink Item,,,pic,,,,2.29,NA,0.00,Inclusive,3.00,61.00,,,,
SMC Fruity,Drink Item,,,Box,,,,115.00,NA,0.00,Inclusive,130.00,29.00,,,,
Modhu Makhna 500 gm,Drink Item,,,pic,,,,320.00,NA,0.00,Inclusive,370.00,0.00,,,,
Modhu Mitha 500 gm,Drink Item,,,pic,,,,280.00,NA,0.00,Inclusive,320.00,2.00,,,,
Modhu Kash 500 gm,Drink Item,,,pic,,,,180.00,NA,0.00,Inclusive,220.00,5.00,,,,
Modhu Kash 250 gm,Drink Item,,,pic,,,,130.00,NA,0.00,Inclusive,150.00,5.00,,,,
Modhu Kash 100 gm,Drink Item,,,pic,,,,60.00,NA,0.00,Inclusive,80.00,9.00,,,,
