Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT,
Bleaching Powder,Cosmetic,,,Packet,,,,48.00,NA,0.00,Inclusive,55.00,29.00,,,,
Wild Stone Perfume,Cosmetic,,,pcs,,,,310.00,NA,0.00,Inclusive,350.00,5.00,,,,
Nivea Perfume,Cosmetic,,,pcs,,,,290.00,NA,0.00,Inclusive,310.00,0.00,,,,
Kool Perfume,Cosmetic,,,pcs,,,,210.00,NA,0.00,Inclusive,230.00,4.00,,,,
Lafz Perfume,Cosmetic,,,pcs,,,,170.00,NA,0.00,Inclusive,190.00,7.00,,,,
One Man Perfume,Cosmetic,,,pcs,,,,390.00,NA,0.00,Inclusive,410.00,1.00,,,,
Fogg Perfume,Cosmetic,,,pcs,,,,250.00,NA,0.00,Inclusive,280.00,4.00,,,,
KS perfume,Cosmetic,,,pcs,,,,190.00,NA,0.00,Inclusive,210.00,3.00,,,,
Blue Bird Perfume,Cosmetic,,,pcs,,,,130.00,NA,0.00,Inclusive,150.00,4.00,,,,
Hand Sanitizer-250 gm,Cosmetic,,,pcs,,Biopharma,,85.00,NA,0.00,Inclusive,100.00,15.00,,,,
Denver Perfume,Cosmetic,,,pcs,,,,265.00,NA,0.00,Inclusive,290.00,4.00,,,,
Kool Foam Small,Cosmetic,,,pcs,,,,120.00,NA,0.00,Inclusive,130.00,150.00,,,,
Kool Foam Big,Cosmetic,,,pcs,,,,185.00,NA,0.00,Inclusive,210.00,58.00,,,,
Gillette Foam Big,Cosmetic,,,pcs,,,,290.00,NA,0.00,Inclusive,305.00,0.00,,,,
Gillette Gel Foam,Cosmetic,,,pcs,,,,250.00,NA,0.00,Inclusive,270.00,3.00,,,,
Hi Speedy Foam 100 gm,Cosmetic,,,pcs,,,,145.00,NA,0.00,Inclusive,160.00,14.00,,,,
Savlon Cream,Cosmetic,,,pcs,,,,36.00,NA,0.00,Inclusive,40.00,13.00,,,,
ponds Facewash 100 gm,Cosmetic,,,pcs,,,,205.00,NA,0.00,Inclusive,220.00,15.00,,,,
Rexsona tube,Cosmetic,,,pcs,,,,150.00,NA,0.00,Inclusive,170.00,6.00,,,,
Toothbrush-25,Cosmetic,,,pcs,,,,20.00,NA,0.00,Inclusive,25.00,53.00,,,,
Toothbrush-30,Cosmetic,,,pcs,,,,25.00,NA,0.00,Inclusive,30.00,17.00,,,,
Toothbrush-40,Cosmetic,,,pcs,,,,35.00,NA,0.00,Inclusive,40.00,21.00,,,,
Toothbrush-50,Cosmetic,,,pcs,,,,45.00,NA,0.00,Inclusive,50.00,20.00,,,,
Toothbrush-85,Cosmetic,,,pcs,,,,75.00,NA,0.00,Inclusive,85.00,31.00,,,,
Blue Chomok Small,Cosmetic,,,pcs,,,,17.00,NA,0.00,Inclusive,20.00,17.00,,,,
Blue Chomok Big,Cosmetic,,,pcs,,,,26.00,NA,0.00,Inclusive,30.00,4.00,,,,
Toilet Tissue,Cosmetic,,,pcs,,,,20.00,NA,0.00,Inclusive,25.00,89.00,,,,
Messwalk,Cosmetic,,,pcs,,,,15.00,NA,0.00,Inclusive,20.00,3.00,,,,
Aina,Cosmetic,,,pcs,,,,10.00,NA,0.00,Inclusive,12.00,106.00,,,,
cherone,Cosmetic,,,pcs,,,,3.00,NA,0.00,Inclusive,5.00,99.00,,,,
Napkin Tissue,Cosmetic,,,pcs,,,,60.00,NA,0.00,Inclusive,65.00,71.00,,,,
Odonil,Cosmetic,,,pcs,,,,45.00,NA,0.00,Inclusive,50.00,6.00,,,,
Odonil,Cosmetic,,,pcs,,,,50.00,NA,0.00,Inclusive,55.00,24.00,,,,
Facial Tissue,Cosmetic,,,pcs,,,,60.00,NA,0.00,Inclusive,65.00,24.00,,,,
Kitchen Tissue,Cosmetic,,,pcs,,,,45.00,NA,0.00,Inclusive,55.00,14.00,,,,
Nivea Rexsona,Cosmetic,,,pcs,,,,170.00,NA,0.00,Inclusive,185.00,6.00,,,,
Hand Sanitizer-50 gm,Cosmetic,,,pcs,,,,55.00,NA,0.00,Inclusive,60.00,6.00,,,,
